clusterId,conceptName,requiredIngredient,identity,family,state,selectedProductId,quantity,unit,reason
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Горчица","Горчица","mustard_ready","EXACT_PRODUCT_ALREADY_RESOLVED","mustard_ready","2","","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Чеснок","Чеснок","garlic_raw","EXACT_PRODUCT_ALREADY_RESOLVED","garlic_raw","1","","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Сахар","Сахар","sugar_white","EXACT_PRODUCT_ALREADY_RESOLVED","sugar_white","1","","accepted resolver supplied concrete product with nutrition authority"
"dcluster_59671113703c6c5ee9faa0f1","Салат Цезарь классический с курицей","Соль","соль","соль","CANONICAL_FAMILY_DEFAULT_SELECTED","salt_table","0.5","","owner synthesis default recipe-synthesis-product-policy/v2 selected exact accepted Product"
"dcluster_d526f4ecacd2fb418fd6611f","Гречка с тушенкой на сковороде","Гречка","Гречка","step093_buckwheat","EXACT_PRODUCT_ALREADY_RESOLVED","step093_buckwheat","220","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_d526f4ecacd2fb418fd6611f","Гречка с тушенкой на сковороде","Вода","вода","вода","PROCESS_INPUT_ACCOUNTED","","500","ML","explicit non-purchased process medium"
"dcluster_d526f4ecacd2fb418fd6611f","Гречка с тушенкой на сковороде","Тушенка","Тушенка","","PRODUCT_CATALOG_GAP","","500","G","no accepted compatible product remains after explicit evidence"
"dcluster_d526f4ecacd2fb418fd6611f","Гречка с тушенкой на сковороде","Морковь","Морковь","carrot","EXACT_PRODUCT_ALREADY_RESOLVED","carrot","1","SHT","accepted resolver supplied concrete product with nutrition authority"
"dcluster_d526f4ecacd2fb418fd6611f","Гречка с тушенкой на сковороде","Лук","Лук","","PRODUCT_SELECTION_PENDING","","1","SHT","multiple semantically valid products remain; no arbitrary variant is selected"
"dcluster_d526f4ecacd2fb418fd6611f","Гречка с тушенкой на сковороде","Подсолнечное масло","Подсолнечное масло","sunflower_oil","EXACT_PRODUCT_ALREADY_RESOLVED","sunflower_oil","2","","accepted resolver supplied concrete product with nutrition authority"
"dcluster_d526f4ecacd2fb418fd6611f","Гречка с тушенкой на сковороде","Сливочное масло","Сливочное масло","butter","EXACT_PRODUCT_ALREADY_RESOLVED","butter","1","","accepted resolver supplied concrete product with nutrition authority"
"dcluster_d526f4ecacd2fb418fd6611f","Гречка с тушенкой на сковороде","Лавровый лист","лавровый лист","лавровый лист","SINGLE_COMPATIBLE_PRODUCT_SELECTED","bay_leaf","2","SHT","exactly one semantically compatible catalog product"
"dcluster_d526f4ecacd2fb418fd6611f","Гречка с тушенкой на сковороде","Гречка","Гречка","step093_buckwheat","EXACT_PRODUCT_ALREADY_RESOLVED","step093_buckwheat","200","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_d526f4ecacd2fb418fd6611f","Гречка с тушенкой на сковороде","Лук репчатый","Лук репчатый","onion","EXACT_PRODUCT_ALREADY_RESOLVED","onion","1","SHT","accepted resolver supplied concrete product with nutrition authority"
"dcluster_d526f4ecacd2fb418fd6611f","Гречка с тушенкой на сковороде","Морковь","Морковь","carrot","EXACT_PRODUCT_ALREADY_RESOLVED","carrot","1","SHT","accepted resolver supplied concrete product with nutrition authority"
"dcluster_d526f4ecacd2fb418fd6611f","Гречка с тушенкой на сковороде","Перец болгарский","Перец болгарский","bell_pepper_raw","EXACT_PRODUCT_ALREADY_RESOLVED","bell_pepper_raw","1","SHT","accepted resolver supplied concrete product with nutrition authority"
"dcluster_d526f4ecacd2fb418fd6611f","Гречка с тушенкой на сковороде","Баклажан","Баклажан","eggplant_raw","EXACT_PRODUCT_ALREADY_RESOLVED","eggplant_raw","1","SHT","accepted resolver supplied concrete product with nutrition authority"
"dcluster_d526f4ecacd2fb418fd6611f","Гречка с тушенкой на сковороде","Помидор","Помидор","tomato_raw","EXACT_PRODUCT_ALREADY_RESOLVED","tomato_raw","1","SHT","accepted resolver supplied concrete product with nutrition authority"
"dcluster_d526f4ecacd2fb418fd6611f","Гречка с тушенкой на сковороде","Фасоль стручковая","Фасоль стручковая","green_beans_raw","EXACT_PRODUCT_ALREADY_RESOLVED","green_beans_raw","100","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_d526f4ecacd2fb418fd6611f","Гречка с тушенкой на сковороде","Капуста цветная","Капуста цветная","cauliflower_raw","EXACT_PRODUCT_ALREADY_RESOLVED","cauliflower_raw","100","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_d526f4ecacd2fb418fd6611f","Гречка с тушенкой на сковороде","Масло растительное","растительное масло","растительное масло","CANONICAL_FAMILY_DEFAULT_SELECTED","sunflower_oil","2","STOL_L","owner synthesis default recipe-synthesis-product-policy/v2 selected exact accepted Product"
"dcluster_dee30d212ed619dffc49d6e1","Куриные котлеты на сковороде","Куриное филе","Куриное филе","chicken_breast_raw","EXACT_PRODUCT_ALREADY_RESOLVED","chicken_breast_raw","800","G","accepted resolver supplied concrete product with nutrition authority"
"dcluster_dee30d212ed619dffc49d6e1","Куриные котлеты на сковороде","Лук","Лук","","PRODUCT_SELECTION_PENDING","","300","G","multiple semantically valid products remain; no arbitrary variant is selected"
"dcluster_dee30d212ed619dffc49d6e1","Куриные котлеты на сковороде","Яйца","яйца","яйца","SINGLE_COMPATIBLE_PRODUCT_SELECTED","step092_eggs","1","SHT","exactly one semantically compatible catalog product"
"dcluster_dee30d212ed619dffc49d6e1","Куриные котлеты на сковороде","Растительное масло","растительное масло","растительное масло","CANONICAL_FAMILY_DEFAULT_SELECTED","sunflower_oil","60","G","owner synthesis default recipe-synthesis-product-policy/v2 selected exact accepted Product"
"dcluster_dee30d212ed619dffc49d6e1","Куриные котлеты на сковороде","Панировочные сухари","Панировочные сухари","bread_crumbs_dry","EXACT_PRODUCT_ALREADY_RESOLVED","bread_crumbs_dry","100","G","accepted resolver supplied concrete product with nutrition authority"
